"","image1","image2","score"
"71","s01d1.png","s08d6.png","21.7122481613545"
"72","s01d1.png","s08d7.png","18.799116664607"
"73","s01d1.png","s08d8.png","17.5456496466574"
"74","s01d1.png","s08d9.png","24.5000431519007"
"75","s01d1.png","s09d1.png","31.5458996381715"
"76","s01d1.png","s09d10.png","25.4684841905495"
"77","s01d1.png","s09d11.png","54.195263492879"
"78","s01d1.png","s09d2.png","19.8535755682109"
"79","s01d1.png","s09d3.png","51.9548127216097"
"80","s01d1.png","s09d4.png","41.2379259289475"
"81","s01d1.png","s09d5.png","28.8773071203139"
"82","s01d1.png","s09d6.png","40.7714685207882"
"83","s01d1.png","s09d7.png","20.377252674127"
"84","s01d1.png","s09d8.png","42.7946741283295"
"85","s01d1.png","s09d9.png","51.6603437218561"
"86","s01d1.png","s10d1.png","45.6402239962723"
"87","s01d1.png","s10d2.png","53.9514745705532"
"88","s01d1.png","s10d3.png","53.4674898041313"
"89","s01d1.png","s10d4.png","36.2475404687512"
"90","s01d1.png","s10d5.png","48.5503495089383"
"91","s01d1.png","s10d6.png","49.3661421422773"
"92","s01d1.png","s10d7.png","55.1685521191716"
"93","s01d1.png","s10d8.png","43.6219251753339"
"94","s01d1.png","s10d9.png","55.4748612284862"
"95","s01d1.png","s11d1.png","30.7917493073655"
"96","s01d1.png","s11d11.png","31.4583769597241"
"97","s01d1.png","s11d12.png","30.4374818629855"
"98","s01d1.png","s11d13.png","32.6536489697991"
"99","s01d1.png","s11d15.png","28.3656481093747"
"100","s01d1.png","s11d2.png","38.1145297097422"
"101","s01d1.png","s11d3.png","25.2192810819057"
"102","s01d1.png","s11d4.png","45.2349732543402"
"103","s01d1.png","s11d5.png","55.1565878042159"
"104","s01d1.png","s12d1.png","60.0358054697108"
"105","s01d1.png","s12d10.png","23.2210993635824"
"106","s01d1.png","s12d11.png","50.5663316478935"
"107","s01d1.png","s12d2.png","27.4646540784396"
"108","s01d1.png","s12d3.png","40.2135320073781"
"109","s01d1.png","s12d4.png","26.4817208521828"
"110","s01d1.png","s12d6.png","36.4257170116202"
"111","s01d1.png","s12d7.png","22.7796249953839"
"112","s01d1.png","s12d8.png","64.3512208885957"
"113","s01d1.png","s12d9.png","44.1416276981114"
"114","s01d1.png","s13d1.png","38.3326519043881"
"115","s01d1.png","s13d2.png","41.6000876734999"
"116","s01d1.png","s13d3.png","38.3121426841687"
"117","s01d1.png","s13d4.png","41.8679789321125"
"118","s01d1.png","s13d5.png","65.3788556218478"
"119","s01d1.png","s13d6.png","44.9232015522236"
"120","s01d1.png","s13d7.png","46.4414088892012"
"121","s01d1.png","s13d8.png","55.6955660728881"
"122","s01d1.png","s13d9.png","30.8504001609872"
"123","s01d1.png","s15d1.png","25.0665223048744"
"124","s01d1.png","s15d10.png","56.1525632670645"
"125","s01d1.png","s15d11.png","44.1225774024373"
"126","s01d1.png","s15d2.png","33.0621559727604"
"127","s01d1.png","s15d3.png","17.7461773019745"
"128","s01d1.png","s15d4.png","33.5487559347287"
"129","s01d1.png","s15d5.png","29.7586387509336"
"130","s01d1.png","s15d6.png","21.0178229641217"
"131","s01d1.png","s15d7.png","34.742116823499"
"132","s01d1.png","s15d8.png","48.9135296587205"
"133","s01d1.png","s15d9.png","24.7463176070965"
"134","s01d1.png","s16d1.png","52.4643280944938"
"135","s01d1.png","s16d2.png","43.9861366933176"
"136","s01d1.png","s16d3.png","46.286201916921"
"137","s01d1.png","s16d4.png","53.681028992512"
"138","s01d1.png","s16d5.png","51.2174143062144"
"139","s01d1.png","s16d6.png","30.6382482750388"
"140","s01d1.png","s16d7.png","23.8001757909183"
"141","s01d1.png","s16d8.png","30.1951239589513"
"142","s01d1.png","s17d1.png","26.9479425737679"
"143","s01d1.png","s17d2.png","47.8280653240057"
"144","s01d1.png","s17d3.png","41.1043282914004"
"145","s01d1.png","s17d4.png","62.0708934636671"
"146","s01d1.png","s17d5.png","37.2474865710954"
"147","s01d1.png","s17d6.png","32.1506079755332"
"148","s01d1.png","s17d7.png","46.2021924639575"
"149","s01d1.png","s17d8.png","51.6589003442808"
"150","s01d1.png","s17d9.png","52.4906316269874"
"151","s01d1.png","s18d1.png","52.3991189127935"
"152","s01d1.png","s18d10.png","44.1593680813838"
"153","s01d1.png","s18d2.png","14.9360759842525"
"154","s01d1.png","s18d20.png","29.1164138048389"
"155","s01d1.png","s18d21.png","28.3700138849452"
"156","s01d1.png","s18d3.png","38.976999345481"
"157","s01d1.png","s18d4.png","42.2549962299452"
"158","s01d1.png","s18d5.png","29.6318527494333"
"159","s01d1.png","s19d10.png","33.9445979014759"
